Num_2017_0,Num_2017_1,Num_2017_2,Num_2017_3,Num_2017_4,Num_2017_5,Num_2017_6,Num_2017_7,Num_2017_8,Num_2017_9,Num_2017_10,Num_2017_11,Num_2017_12,Num_2017_13,Num_2017_14,Num_2017_15,Num_2017_16,Num_2017_17,Num_2017_18,Num_2017_19,Num_2017_20,F_2017_0,F_2017_1,F_2017_2,F_2017_3,F_2017_4,F_2017_5,F_2017_6,F_2017_7,F_2017_8,F_2017_9,F_2017_10,F_2017_11,F_2017_12,F_2017_13,F_2017_14,F_2017_15,F_2017_16,F_2017_17,F_2017_18,F_2017_19,Bsp_1982,Bsp_2001,Bsp_2016,Rec_1982,Rec_2001,Bloss
5084700,3156580,2082290,2163020,475737,1069770,130353,218408,231966,815246,230667,96303.2,85734.8,108424,59630.6,52143.5,335581,36219.3,36346.8,24078.9,84110.3,0.001696,0.016019,0.032073,0.049452,0.064315,0.074982,0.081669,0.085455,0.087464,0.088498,0.089031,0.089311,0.089464,0.08955,0.089602,0.089634,0.089654,0.089668,0.089677,0.089691,2237440,1346660,902625,51838500,16647700,872011
8779140,4294560,1641570,1913990,571142,885659,153037,294395,236295,856561,270598,146500,89376,138364,54485.8,69169.5,396624,37300.9,37217.1,28957.7,117186,0.00137500000000002,0.013251,0.027533,0.043492,0.057375,0.067374,0.073566,0.076963,0.078671,0.07949,0.079876,0.080061,0.080153,0.0802,0.080226,0.080241,0.08025,0.080256,0.080259,0.080265,2446770,1581640,1042710,52519700,16549500,994611
2954020,3577510,2235240,2221880,364289,691807,154633,210777,201062,723273,234635,92458.2,105853,106480,63117.7,39208.7,282390,35827,33546.7,25988.7,75005.4,0.00250500000000001,0.020522,0.038125,0.056256,0.071528,0.082671,0.089976,0.094409,0.096973,0.098428,0.099257,0.099739,0.100028,0.100208,0.100323,0.1004,0.100452,0.100489,0.100516,0.100555,2416670,1298080,805425,50368800,15402800,760053
4654570,2142080,1880670,2407150,423305,891433,38271.9,216368,240875,652689,185983,66930,53145.4,93375.6,41628.6,38937.6,240756,23914.7,25584.9,17638.9,51791.5,0.00193100000000002,0.019146,0.037559,0.058055,0.076633,0.091176,0.10139,0.108011,0.112074,0.114492,0.115921,0.116772,0.117291,0.117615,0.117824,0.117963,0.118058,0.118125,0.118173,0.118246,1963960,1209710,701128,55980900,16074000,677188
6689340,3162190,2125050,2413640,487674,1018700,101914,232513,275707,853391,294464,75343.8,130387,125993,87092.7,49976.8,383556,50254.5,42145.3,33940.1,120122,0.00221199999999999,0.01635,0.030857,0.045497,0.057381,0.065641,0.070767,0.073711,0.075332,0.076215,0.076703,0.07698,0.077144,0.077244,0.077309,0.077351,0.07738,0.077401,0.077415,0.077438,2164660,1586680,1029820,51627200,15960700,993396
3425380,2379520,1599070,2304290,518655,956980,103941,199786,262851,924334,213296,104154,103696,126178,74690.6,52524.2,450665,49715.3,51631,33048.9,139317,0.001528,0.014669,0.030405,0.046311,0.058485,0.066092,0.070185,0.072188,0.07313,0.073575,0.073793,0.073905,0.073966,0.074002,0.074023,0.074037,0.074046,0.074052,0.074056,0.074063,2682720,1685330,1086680,54454400,17137100,1043660
4739980,3612980,1737230,2733570,393266,997955,158500,160910,112561,509500,120346,35567,27351.4,68540.1,31431.8,19477.3,104805,10043.4,11995.5,6321.8,14314.5,0.00254599999999999,0.026004,0.050837,0.079379,0.106112,0.127516,0.142618,0.15223,0.157888,0.161055,0.162788,0.163734,0.16426,0.164559,0.164735,0.164843,0.16491,0.164955,0.164985,0.165025,2043100,823825,469760,55548100,15501600,467122
4128180,2067030,1902280,2016240,472639,1036530,113356,205953,263656,907947,273613,135219,83369.7,101131,59525,60008.6,368264,38294.3,39476.5,32023.1,97378.5,0.00234700000000002,0.017463,0.033777,0.050278,0.063393,0.072103,0.07714,0.079778,0.081084,0.081719,0.082032,0.082192,0.082278,0.082326,0.082354,0.082371,0.082383,0.08239,0.082396,0.082403,2758860,1411320,987096,52628000,16724100,945562
3609390,4402940,2253440,2190160,544576,1011090,120880,272937,230665,1026290,322305,119114,83533.1,129190,87283.8,92809.6,537695,61205.7,61610.2,45201.3,177746,0.00123300000000001,0.011668,0.025084,0.039052,0.049983,0.056976,0.060866,0.062856,0.063844,0.064338,0.064594,0.064732,0.064811,0.064859,0.064888,0.064908,0.064921,0.06493,0.064937,0.064947,2683430,1836480,1248390,53969800,17774600,1192870
6132750,4304820,2498230,3124320,470235,1308630,126017,301876,291082,989729,316369,138758,110481,166642,65242.3,68897.1,389289,51644,39276.1,28614.2,95352,0.001448,0.012241,0.024124,0.037096,0.048506,0.057107,0.062893,0.066473,0.06857,0.069766,0.070445,0.070836,0.071067,0.071209,0.071298,0.071357,0.071396,0.071424,0.071443,0.071473,2425710,1361800,1112600,49121000,16506100,1095980
